,SOURCEID,Easting,Northing,TAXSUSDA,HZDUSD,UHDICM,LHDICM,Hordepth,BLD,PHIHOX,Horizon
371,CAF121,494105.7794,5180713.451,Naff,Btb3,120,152,32,,,7
372,CAF123,493337.2435,5180738.147,,,,,0,,,
378,CAF125,493401.0687,5180744.966,,,,,0,,,
384,CAF127,493466.0706,5180730.206,,,,,0,,,
389,CAF129,493528.6847,5180727.158,,,,,0,,,
395,CAF131,493592.5074,5180731.757,,,,,0,,,
401,CAF133,493656.3232,5180729.911,,,,,0,,,
407,CAF135,493720.1532,5180741.623,,,,,0,,,
413,CAF137,493782.1431,5180736.366,,,,,0,,,
419,CAF139,493847.7654,5180719.155,,,,,0,,,
424,CAF141,493911.6096,5180745.093,,,,,0,,,
436,CAF143,493976.78,5180731.339,Naff,Btb2,136,153,17,1.51,6.46,7
437,CAF145,494039.2338,5180734.075,,,,,0,,,
443,CAF147,494103.0625,5180745.235,,,,,0,,,
449,CAF149,493350.8639,5180767.357,,,,,0,,,
455,CAF151,493417.8866,5180770.999,,,,,0,,,
460,CAF153,493478.5079,5180775.884,,,,,0,,,
465,CAF155,493542.3175,5180768.814,,,,,0,,,
470,CAF157,493606.1367,5180770.524,,,,,0,,,
476,CAF159,493669.9528,5180769.345,,,,,0,,,
481,CAF161,493733.7514,5180751.388,,,,,0,,,
487,CAF163,493797.585,5180766.989,,,,,0,,,
492,CAF165,493861.4158,5180780.147,,,,,0,,,
497,CAF167,493925.2257,5180772.86,,,,,0,,,
503,CAF169,493989.0354,5180765.35,,,,,0,,,
508,CAF171,494052.8464,5180758.841,,,,,0,,,
513,CAF173,494116.657,5180751.889,,,,,0,,,
524,CAF175,493367.9983,5180799.119,Latah,Btb2,125,151,26,1.64,6.36,7
525,CAF177,493431.822,5180805.16,,,,,0,,,
530,CAF179,493495.6416,5180807.646,,,,,0,,,
536,CAF181,493559.451,5180800.577,,,,,0,,,
542,CAF183,493623.2698,5180802.287,,,,,0,,,
547,CAF185,493687.0856,5180801.108,,,,,0,,,
558,CAF187,493750.8839,5180783.151,Thatuna,Btb4,127,153,26,1.7,6.51,7
559,CAF189,493814.7171,5180798.753,,,,,0,,,
565,CAF193,493942.3571,5180804.623,,,,,0,,,
570,CAF195,494006.1666,5180797.114,,,,,0,,,
576,CAF197,494069.9772,5180790.605,,,,,0,,,
581,CAF199,494133.7875,5180783.653,,,,,0,,,
587,CAF201,493416.666,5180836.958,,,,,0,,,
592,CAF203,493480.4853,5180839.444,,,,,0,,,
598,CAF205,493544.2943,5180832.374,,,,,0,,,
604,CAF207,493606.5134,5180835.683,,,,,0,,,
610,CAF209,493671.9282,5180832.905,,,,,0,,,
616,CAF211,493735.7261,5180814.947,,,,,0,,,
621,CAF213,493799.5591,5180830.549,,,,,0,,,
627,CAF215,493859.7475,5180844.162,,,,,0,,,
633,CAF217,493927.1984,5180836.419,,,,,0,,,
638,CAF219,493991.0075,5180828.91,,,,,0,,,
643,CAF221,494054.8177,5180822.401,,,,,0,,,
648,CAF223,494118.6277,5180815.449,,,,,0,,,
654,CAF225,493412.6587,5180872.077,,,,,0,,,
659,CAF227,493478.459,5180856.118,,,,,0,,,
664,CAF229,493540.2721,5180854.27,,,,,0,,,
669,CAF231,493604.0934,5180858.868,,,,,0,,,
675,CAF233,493667.9079,5180857.023,,,,,0,,,
680,CAF235,493731.7365,5180868.735,,,,,0,,,
685,CAF237,493798.2411,5180860.384,,,,,0,,,
690,CAF239,493858.4356,5180848.088,,,,,0,,,
696,CAF241,493923.1888,5180872.205,,,,,0,,,
701,CAF243,493986.9922,5180859.362,,,,,0,,,
707,CAF245,494050.8104,5180861.187,,,,,0,,,
713,CAF247,494114.6377,5180872.347,,,,,0,,,
724,CAF249,493445.5787,5180889.931,Thatuna,Btb,127,149,22,1.72,5.87,7
725,CAF251,493509.3906,5180886.084,,,,,0,,,
731,CAF253,493573.2116,5180890.682,,,,,0,,,
736,CAF255,493637.0257,5180888.836,,,,,0,,,
742,CAF257,493700.8541,5180900.548,,,,,0,,,
747,CAF259,493764.6632,5180893.925,,,,,0,,,
752,CAF261,493828.4629,5180878.08,,,,,0,,,
757,CAF263,493892.3055,5180904.017,,,,,0,,,
762,CAF265,493957.4741,5180890.263,,,,,0,,,
767,CAF267,494019.9263,5180892.999,,,,,0,,,
772,CAF269,494083.7533,5180904.159,,,,,0,,,
778,CAF271,494147.5581,5180892.762,,,,,0,,,
784,CAF273,493498.4511,5180934.767,,,,,0,,,
789,CAF275,493560.6597,5180928.897,,,,,0,,,
794,CAF277,493626.0766,5180929.408,,,,,0,,,
799,CAF279,493690.9522,5180926.713,,,,,0,,,
804,CAF281,493754.8875,5180909.472,,,,,0,,,
809,CAF283,493817.5199,5180925.874,,,,,0,,,
814,CAF285,493881.3489,5180939.032,,,,,0,,,
819,CAF287,493945.1571,5180931.744,,,,,0,,,
824,CAF289,494008.9652,5180924.235,,,,,0,,,
830,CAF291,494072.7745,5180917.726,,,,,0,,,
836,CAF293,494136.5834,5180910.774,,,,,0,,,
841,CAF298,493502.6076,5180966.544,,,,,0,,,
846,CAF300,493566.4152,5180959.474,,,,,0,,,
851,CAF302,493631.4319,5180959.585,,,,,0,,,
857,CAF304,493694.0464,5180960.006,,,,,0,,,
862,CAF306,493757.8431,5180942.048,,,,,0,,,
867,CAF308,493821.6746,5180957.65,,,,,0,,,
872,CAF310,493885.5034,5180970.809,,,,,0,,,
877,CAF312,493946.5799,5180965.797,,,,,0,,,
882,CAF314,494013.119,5180956.012,,,,,0,,,
887,CAF316,494076.9279,5180949.503,,,,,0,,,
893,CAF324,493530.6382,5180981.404,,,,,0,,,
898,CAF326,493594.4582,5180986.002,,,,,0,,,
904,CAF328,493658.2713,5180984.157,,,,,0,,,
909,CAF330,493722.0986,5180995.869,,,,,0,,,
915,CAF332,493785.9066,5180989.246,,,,,0,,,
921,CAF334,493849.7054,5180973.401,,,,,0,,,
927,CAF336,493913.5469,5180999.338,,,,,0,,,
932,CAF338,493977.9553,5180985.889,,,,,0,,,
938,CAF349,493572.819,5181023.029,,,,,0,,,
944,CAF351,493636.6355,5181024.739,,,,,0,,,
949,CAF353,493700.4489,5181023.561,,,,,0,,,
954,CAF355,493764.2449,5181005.603,,,,,0,,,
959,CAF357,493828.0757,5181021.206,,,,,0,,,
965,CAF359,493891.9038,5181034.364,,,,,0,,,
970,CAF371,493570.4942,5181049.809,,,,,0,,,
976,CAF373,493635.3715,5181056.522,,,,,0,,,
982,CAF375,493700.3841,5181054.144,,,,,0,,,
988,CAF377,493767.3783,5181033.528,,,,,0,,,
994,CAF379,493826.8108,5181052.988,,,,,0,,,
1005,CAF381,493890.6385,5181066.146,Thatuna,Bt,118,153,35,,,7
1006,CAF395,493626.398,5181088.312,,,,,0,,,
1018,CAF397,493690.2107,5181087.133,Palouse,Bwb,128,153,25,1.58,,7
1019,CAF399,493754.006,5181069.176,,,,,0,,,
1024,CAF401,493817.8362,5181084.778,,,,,0,,,
1036,CAF419,493648.3558,5181104.302,Thatuna,ABb,104,126,22,1.69,6.02,7
1038,CAF421,493712.7748,5181114.814,,,,,0,,,
1050,CAF423,493780.1935,5181114.779,Latah,Btb,137,153,16,1.58,6.69,7
1051,CAF425,493841.5918,5181100.533,,,,,0,,,
